,id,idvalatvalidation,ref,title,region,subregion,hostcountry,hostcountry2,provincestate,status,type,subtype,methodology,stperiodktco2eyr,ndperiodktco2eyr,rdperiodktco2eyr,yrs,slope,creditstart,expectedaccumulated2012ktco2e,expectedaccumulated2020ktco2e,expectedaccumulated2030ktco2e,validator,hostcountryuse,kcerscp1,kcerscp2,totalissuancekcers,firstissuance,until,expectedkcers,issuancesuccess,issuancedelaymonths,voluntarycancellationskcers,firstverifier,creditbuyer,withdrawncreditbuyer,pddconsultant,firststartcomment,resubmissiondate,formersubmission,nextsubmission,hostloa,regrequest,startdatefor4weekrequestreviewpe,dateofregistration,dateofderegistration,reviewhistory,sdtoolgoldstandardccbprojectnumb,mwel,fulltimehours,gridemissionfactortco2emwh,annualeegwhreduced,forestsizeha,automaticadditionality,supportedbycdmloanscheme,investmentmus,investmentustco2,investmentuskw,annualinvestmentcontribution,irrexclcer,irrbenchmark,irrinclcer,cerpriceustco2,lastcontactwithsecretariatupdate,approvedbyndrckccers,comments,ERPA,firstcountryformular,firstcountry,firstcompany,buyer,worldbank,YesNo,cerfomular,cer,treat,energy1triditional2re3both4cemen,projectdeveloper,consulting,trading,sustainabilitysolutions,multiplecountries,buyersornot,financeexclusivelyenvironmentala,carbontrade,caronornot,buyerstatus1privatelocal2private,sector,industry,subindustry,month,day,year,location,locationregion,buyercountry,projecttype,buyercompany,locationsubregion,buyerdetination,psize,cobnefits
10,CDM06272,IZYJIR8EO2B8NIE4DHPMQFVHSYPLD8,4442,Wuhan Chenjiachong Sanitary Landfill LFG Power Generation Project,Asia & Pacific,East Asia,China,,Hubei,Registered,Landfill gas,Landfill power,ACM1,143.6,,,10,0.10000000099999999,4-Oct-11,178,1328,1436,TV-Nord,,,,,,,,,82,,,France (Rhodia),,Orbeo,8-Apr-10,,,,1-May-10,6-Jul-11,27-Aug-11,4-Oct-11,,Request,1.0,3.0,6687.0,,,,,,6.1999998089999995,43.0,2078.1,,1.07,8.0,32.86000061,,2011m10,,,1/18/10,France ,France ,Rhodia,France (Rhodia),,1,10.06999969,10.06999969,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Consumer Discretionary,Commercial Services,Other Commercial Services,1,18,2010,China,Asia & Pacific,France ,Landfill gas,Rhodia,East Asia,France (Rhodia),0,cob1
11,CDM03517,53PMHQ0M93OD12QGJC6P5OSXN2VZ74,2513,Luoyang Landfill Site LFG Recovery to Electricity Project,Asia & Pacific,East Asia,China,,Henan,Registered,Landfill gas,Landfill power,ACM1,102.9,,,10,5.6999998089999995,28-Jul-09,353,1029,1029,TV-SD,,144.0,11.0,155.0,27-Dec-11,28-Feb-13,304.0,51%,29,,TV-Rhein,United K. (Renaissance Carbon Investment),,Shanghai BCCY NewPower Industry Co.,16-Apr-08,,,,1-Jun-08,15-Apr-09,19-May-09,28-Jul-09,,Minor Corrections,,1.399999976,6500.0,0.9746,,,,,3.700000048,36.0,2741.9,#REF!,0.31,8.0,23.76000023,7.0,2016m8,,,10/28/07,United K. ,United K. ,Renaissance Carbon Investment,United K. (Renaissance Carbon Investment),,1,7.0,7.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,Consumer Discretionary,Commercial Services,Other Commercial Services,10,28,2007,China,Asia & Pacific,United K. ,Landfill gas,Renaissance Carbon Investment,East Asia,United K. (Renaissance Carbon Investment),0,cob1
12,CDM01887,KAH8ICGTO3ZGR3PM8E8I70R5ITGO61,5326,Hunan Changsha Qiaoyi Landfill Gas Recovery and Electricity Generation Project,Asia & Pacific,East Asia,China,,Hunan,Registered,Landfill gas,Landfill power,ACM1,357.8,,,7,19.29999924,1-May-12,239,3103,6683,DNV,CCER val.(3),,,,,,,,75,,,Netherlands (Carbon Road),United K. (Trading Emissions),EEA Clean Energy China,5-Apr-07,19-May-10,CDM09715,,2-Jul-07,24-Feb-12,13-Apr-12,24-Feb-12,,,,6.0,6415.0,0.8529,,,,,9.899999618999999,28.0,1648.1,,4.36,8.0,9.75,9.47,2016m8,,,4/12/06,United K. ,United K. ,Trading Emissions,United K. (Trading Emissions),,1,9.470000267,9.470000267,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Business consulting and others,Environmental Services,Other specialist business services,4,12,2006,China,Asia & Pacific,United K. ,Landfill gas,Trading Emissions,East Asia,United K. (Trading Emissions),0,cob1
13,CDM11393,QARG826SA5OJZOSS4N8YDESE1F4NQ0,9346,Handan LFG Power Generation Project,Asia & Pacific,East Asia,China,,Hebei,Registered,Landfill gas,Landfill power,ACM1,74.0,,,10,-1.100000024,3-Sep-13,0,543,740,RINA,,,,,,,,,59,,,Switzerland (International Clean Fund),,n.a.,17-May-12,,,,1-Jan-12,28-Dec-12,19-Jul-13,3-Sep-13,,Request,,2.0,5858.0,0.8115,,,,,4.599999905,62.0,2311.4,,1.98,8.0,18.52000046,10.07,2014m5,,,3/12/08,Switzerland ,Switzerland ,International Clean Fund,Switzerland (International Clean Fund),,1,10.06999969,10.06999969,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,Financials,Specialty Finance,Other Financial Services,3,12,2008,China,Asia & Pacific,Switzerland ,Landfill gas,International Clean Fund,East Asia,Switzerland (International Clean Fund),0,cob1
14,CDM02488,26U9VEVGJBS7454QTQON3MDJ65PCAZ,3260,Suzhou Landfill in Anhui Province Gas Utilization Project,Asia & Pacific,East Asia,China,,Anhui,Registered,Landfill gas,Landfill power,ACM1,48.5,,,7,3.799999952,2-Dec-10,101,489,974,LRQA,,35.0,21.0,56.0,22-Aug-11,30-Nov-13,122.0,46%,9,,CQC,United K. (Sindicatum Carbon Capital),,Sindicatum Carbon Capital,6-Jun-07,7-May-09,CDM10617,,1-Apr-09,8-Jan-10,1-Jun-10,2-Dec-10,,Correction 2,,2.0,7441.0,,,,,,3.400000095,71.0,1712.6,#REF!,2.0,8.0,15.0,10.0,2014m10,,,3/18/08,United K. ,United K. ,Sindicatum Carbon Capital,United K. (Sindicatum Carbon Capital),,1,10.0,10.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Industrials,Engineering & Construction Svcs,Engineering Services,3,18,2008,China,Asia & Pacific,United K. ,Landfill gas,Sindicatum Carbon Capital,East Asia,United K. (Sindicatum Carbon Capital),0,cob1
15,CDM10879,UAM83J9UDTL7UT3HCA9NZN0458SJ7Z,8118,Lichonggou Landfill Gas Recovery and Utilization Project in Liuzhou City,Asia & Pacific,East Asia,China,,Guangxi,Registered,Landfill gas,Landfill power,ACM1,69.1,,,7,4.5,1-Dec-12,6,559,1250,CQC,,,,,,,,,68,,,United K. (Carbon Trading Capital),,AGET,26-Mar-12,,,,1-Apr-12,9-Nov-12,11-Jan-13,16-Nov-12,,,,4.0,5040.0,0.6323,,,,,5.5,79.0,1369.8,,4.41,8.0,16.62999916,10.07,2014m8,,,12/21/11,United K. ,United K. ,Carbon Trading Capital,United K. (Carbon Trading Capital),,1,10.06999969,10.06999969,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Financials,Asset Management,Investment Companies,12,21,2011,China,Asia & Pacific,United K. ,Landfill gas,Carbon Trading Capital,East Asia,United K. (Carbon Trading Capital),0,cob1
16,CDM04213,FPXFSQIQTJDSN5X0QLJX13RZ55K8RW,3201,Huizhou Landfill Gas Recovery and Utilization Project,Asia & Pacific,East Asia,China,,Guangdong,Registered,Landfill gas,Landfill power,ACM1,139.0,,,7,1.7000000480000002,22-Dec-10,282,1395,2786,TV-SD,,170.0,,170.0,18-Oct-13,31-Dec-12,273.0,62%,34,,GLC,Netherlands (VROM),,"UNIDO-ITPC, PhasCon, CarbonChina Investment",19-Sep-08,,,,1-Jan-09,15-Dec-09,24-Nov-10,22-Dec-10,,,,3.0,6650.0,,,,,,4.0,29.0,1322.0,#REF!,-0.91,5.0,20.95999908,11.84,2013m10,,,1/29/08,Netherlands ,Netherlands ,VROM,Netherlands (VROM),,1,11.84000015,11.84000015,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,Government,Government Agencies,0,1,29,2008,China,Asia & Pacific,Netherlands ,Landfill gas,VROM,East Asia,Netherlands (VROM),0,cob1
17,CDM03652,KT1VA4PS46I6RS4AQXW7GUKDPXEDYT,9303,Zone 3 Landfill Gas Project,Latin America,Central America,Guatemala,,Guatemala City,Registered,Landfill gas,Landfill power,ACM1,141.6,,,7,6.3000001910000005,1-Mar-13,0,1110,2527,AENOR,,,,,,,,,65,,,n.a.,,Carbon Trade,15-May-08,,,,23-Dec-10,27-Dec-12,8-Aug-13,28-Dec-12,,,2.0,4.8000001910000005,,0.6021,,,,,7.900000095,56.0,1650.0,,,12.5,39.11000061,18.0,2015m7,,,9/17/07,New Zealand ,New Zealand ,Ministry for Environment,New Zeanland (Ministry for Environment),,1,18.0,18.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,Government,Government Agencies,0,9,17,2007,Guatemala,Latin America,New Zealand ,Landfill gas,Ministry for Environment,Central America,New Zeanland (Ministry for Environment),0,cob1
18,CDM11984,NBCRJTD335ZG08B7DSFKG6PUUKI1YM,9413,LFG management project for second phase of Liulitun landfill in Haidian District,Asia & Pacific,East Asia,China,,Beijing,Registered,Landfill gas,Landfill power,ACM1,152.6,,,7,8.699999809,1-Mar-13,0,1196,2722,JCI,,,,,,,,,65,,,"Netherlands (Carbon Road), Japan (J-TEC)",,n.a.,7-Sep-12,,,,1-Nov-12,29-Dec-12,19-Jul-13,31-Dec-12,,,,10.0,6480.0,0.8115,,,,,15.80000019,104.0,1582.1,,2.42,8.0,,8.29,2016m9,,,7/18/12,Netherlands ,Netherlands ,Carbon Road,Netherlands (Carbon Road),,1,8.289999962000001,8.289999962000001,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Business consulting and others,Environmental Services,Other specialist business services,7,18,2012,China,Asia & Pacific,Netherlands ,Landfill gas,Carbon Road,East Asia,Netherlands (Carbon Road),0,cob1
19,CDM06620,NLRSSJLZUN61KLIHM2GZAMRR12KJ18,4696,Guangdong Shenzhen Laohukeng Landfill Gas Utilization Project,Asia & Pacific,East Asia,China,,Guangdong,Registered,Landfill gas,Landfill power,ACM1,196.8,,,7,-27.29999924,26-Apr-11,332,1908,3877,TV-Rhein,CCER val.(3),87.0,,87.0,20/Mar/13,30/Apr/12,282.0,31%,23,,RINA,n.a.,Netherlands (E.ON),Easy Carbon,7-Jul-10,,,,1-May-10,18-Apr-11,25-Jun-11,26-Apr-11,,,,3.200000048,6075.0,,,,,,7.099999905,36.0,2236.3,#REF!,-4.14,8.0,27.97999954,10.3,2013m3,,,3/8/10,Netherlands ,Netherlands ,E.ON Climate & Renewables GmbH,Netherlands (E.ON),,0,10.3,10.3,0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Energy,Renewable Energy,Renewable Energy Project Dev,3,8,2010,China,Asia & Pacific,Netherlands ,Landfill gas,E.ON Climate & Renewables GmbH,East Asia,Netherlands (E.ON),0,cob1
20,CDM06328,B5JM6J9F364N0PCN7QEBIXRT9DYFE9,5937,Xining Aiyuan Landfill Gas Recovery and Power Generation Project,Asia & Pacific,East Asia,China,,Qinghai,Registered,Landfill gas,Landfill power,ACM1,165.8,,,7,8.300000191,5-Jul-12,81,1409,3067,TV-Rhein,,,,,,,,,73,,,United K. (Eco-Tec Asia UK),,Eco-Tec Asia,22-Apr-10,,,,1-Mar-10,23-Mar-12,18-May-12,5-Jul-12,,Request,,2.099999905,6658.0,0.9293,,,,,7.900000095,47.0,3704.4,,-4.54,5.0,23.55999947,10.07,2012m9,,,11/3/09,United K. ,United K. ,Eco-Tec Asia UK,United K. (Eco-Tec Asia UK),,1,10.06999969,10.06999969,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,Financials,Specialty Finance,Other Financial Services,11,3,2009,China,Asia & Pacific,United K. ,Landfill gas,Eco-Tec Asia UK,East Asia,United K. (Eco-Tec Asia UK),0,cob1
21,CDM07921,DW4MR87EV97W52AZ8Q10BVVHMYYF4Z,5557,Zhuzhou Landfill Site LFG to Power Generation Project,Asia & Pacific,East Asia,China,,Hunan,Registered,Landfill gas,Landfill power,ACM1,105.7,,,10,2.599999905,1-Apr-12,79,925,1057,TV-Nord,,,388.0,388.0,,26/Apr/16,399.0,97%,59,,LGAI,Netherlands (Carbon Road),United K. (Innovative Carbon Investment),Innovative Carbon Investment,28-May-11,,,,1-Dec-11,13-Mar-12,21-Apr-12,19-Mar-12,,,,3.200000048,4583.0,0.7707,,,,,6.099999905,58.0,1921.9,,-2.52,8.0,21.30999947,10.66,2017m2,,,7/15/11,United K. ,United K. ,Innovative Carbon Investment,United K. (Innovative Carbon Investment),,1,10.65999985,10.65999985,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Business consulting and others,Environmental Services,Other specialist business services,7,15,2011,China,Asia & Pacific,United K. ,Landfill gas,Innovative Carbon Investment,East Asia,United K. (Innovative Carbon Investment),0,cob1
22,CDM00192,LVXBVGTY6CESL0MRPDSJAHQJ4XW8KM,708,Huaycoloro landfill gas capture and combustion,Latin America,South America,Peru,,Lima,Registered,Landfill gas,Landfill power,ACM1+AMS-I.D.,299.0,294.89999389999997,,7,0.0,5-Mar-07,1744,4109,6222,SGS,,1065.0,374.0,1439.0,23-Feb-10,4-Mar-14,2094.0,69%,36,,TV-SD,"United K. (ICECAP), Germany (Statkraft)",Netherlands (Netherlands Clean Development Facility),WB-CF,11-Aug-05,,,,7-Jul-05,16-Oct-06,6-Jan-07,5-Mar-07,,,,5.6999998089999995,7160.0,,,,,,7.0,23.0,1221.0,#REF!,4.0,14.0,,5.0,2015m11,,,1/1/11,Netherlands ,Netherlands ,CDM Facility NCDMF,Netherlands (CDM Facility NCDMF),,0,5.0,5.0,0,,,,,,,,,,,,,,,1,1,2011,Peru,Latin America,Netherlands ,Landfill gas,CDM Facility NCDMF,South America,Netherlands (CDM Facility NCDMF),0,cob1
23,CDM07918,R8YQ2LSGZW88HYDUITDI08DDQFYIRW,7018,7.5 MW Poultry Litter Project by Redan Infrastructure Private limited,Asia & Pacific,Southern Asia,India,,Andhra Pradesh,Registered,Biomass energy,Agricultural residues: poultry litter,ACM10+AMS-I.D.,139.7,,,7,0.0,1-Jul-14,0,909,2307,TV-Nord,,,,,,,,,49,,,Switzerland (Swiss Carbon Asset),,South Pole Carbon Asset Management,28-May-11,23-Jul-11,CDM10249,,25-Apr-12,16-Aug-12,6-Dec-12,9-Oct-12,,,1.0,7.5,6272.0,0.85,,,,,9.699999809,70.0,1299.6,,9.81,12.75,26.02000046,,2016m9,,,2/17/11,Switzerland ,Switzerland ,Swiss Carbon Asset,Switzerland (Swiss Carbon Asset),,1,13.5,13.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Financials,Specialty Finance,Other Financial Services,2,17,2011,India,Asia & Pacific,Switzerland ,Biomass energy,Swiss Carbon Asset,Southern Asia,Switzerland (Swiss Carbon Asset),0,cob3
24,CDM05912,LO2OMJ0NMZGUJETGQ9DD2BY3OUJRTH,5238,Luohe MSW Landfill Site LFG Recovery to Power Project,Asia & Pacific,East Asia,China,,Henan,Registered,Landfill gas,Landfill power,ACM11+AMS-III.G.+AMS-I.D.,41.6,,,10,2.299999952,7-Oct-11,45,384,416,GLC,,43.0,159.0,202.0,10-Jan-14,29-Feb-16,155.0,130%,28,5.0,CQC,Germany (UPM),,UPM,22-Dec-09,,,,1-Jul-10,20-Sep-11,2-Dec-11,7-Oct-11,,,,2.0,5577.0,0.8529,,,,,3.700000048,88.0,1832.5,#REF!,2.89,8.0,11.13000011,7.0,2016m10,,,10/15/09,Germany ,Germany ,UPM,Germany (UPM),,1,7.0,7.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,Financials,Specialty Finance,Other Financial Services,10,15,2009,China,Asia & Pacific,Germany ,Landfill gas,UPM,East Asia,Germany (UPM),1,cob1
