id,idvalatvalidation,ref,title,ERPA
CDM02917,BUNOTVT42XEQJDA9UIYVRYPDF4DEPM,2137,"Mengzhushan 15 MW Small Hydropower Project in Shaanxi Province, China",5/2/06
CDM00969,7KHUCINSKNE9AGTHXUHW6T0MHJOFH4,2788,Luodu Small Hydropower Project,5/2/06
CDM01915,AXMK3F350RPNBITJLWKOS0RUQWMJCD,1555,China Zhijiang Peace Small Hydropower Project,5/15/06
CDM02051,4HMNDZVZWV3OZENV3J0MS3GHWENWES,3168,Hubei Wangjiahe Hydropower Project,5/15/06
CDM05117,A4B2DWNOTEE57WKTPQ8Y7D5K1PVOVV,2938,Power Prospect 9.9MW Rice Husk Power Plant,5/30/06
CDM02331,GWDS016CULP5AAC5C8SYM5VVEEC87Z,2080,"Binglang River Tucang Hydropower station in Yunnan province, China",6/8/06
CDM02004,PCL3HR6CQBIX2VLNVIS5LYNGNQM5KN,2899,Hunan Sanjiangkou 50MW Hydropower Expansion Project,6/15/06
CDM01861,NIH4LRXDF7W1N6GBRJLQHUXU2H02YP,2214,Zuo XI Hydropower power plant,6/22/06
CDM02476,HMCBEOBC1X1OCFOCQB3MF4BY0TL97Z,3088,BaiyunÕebo 45MW Wind farm Project,7/15/06
CDM02186,OCRRJLJGJJXVC6P4MBS8T6DWFW1AJQ,1742,Zhuhai Hengqin Island Wind Farm Project,7/15/06
CDM01380,1TZ86PD7Q98EU7EW92QAGL27H5TJYX,1010,Laizhou Diaolongzui Wind Farm,7/15/06
CDM02626,99BX084TF7GD12QC9SWZMU1KLMWB1E,2039,Jiangxi Taojiang Hydropower Project,7/20/06
CDM02281,OVDKAC43J6D09K23TD8NB13XH36Z3I,2150,Yunnan Langwaihe Hydroelectric Power Station,8/10/06
CDM04203,G5VM052D3B0B2SGXTSSQDRG9I4RL9P,2782,Chongqing Pengshui Longmenxia Hydropower Station Project,8/11/06
CDM05219,8RC02H6OYG4AC1UL1BGP22O99VQENW,9074,Mampuri Wind Power Project,8/12/06
CDM04209,LLWTCTSWV1GMFLZ0BSRMVPNEO0UCRD,4787,Yunnan Yingjiang Xiangbai River Lushan Hydropower Station,8/15/06
CDM01962,OLT31GH87TZFMGAI70YTGQAA0G9AF1,1955,Hubei Laifeng Najitan Hydropower Station,8/15/06
CDM02602,2XDKRCDR5TJW13WK3JV6SJPMWU4RYE,1956,Xinjiang Uygur Autonomous Region Tekesi River Shankou Hydropower Station,8/15/06
CDM01877,6Q2OQV2SPAP1LT2E504OFCN7SPF7DP,1560,"Jiaping 5MW, Pingzhong 4.4MW Hydro Power Project in Guizhou Province, China.",8/17/06
CDM01786,G0CJTR84WYTS4BTDOUDTLTCL0KHR5K,1709,Angang Sinter Machine Waste Heat Recovery and Generation Project,9/15/06
CDM01797,W8XFM5LLHVDNPO9F3O6FOZVBYCHIY2,2703,Angang Coke Dry Quenching Project,9/15/06
CDM01287,WA2AXG4VSJRRM7ZQH0VCR63W85I0Z9,1009,3.7 MW Bundled Wind Power Project at Priyadarshini Polysacks Ltd. Dhulia District Maharashtra,9/15/06
CDM01488,EA7FMSY56KO30BZY3J0ZBH77HXBWP0,1129,Jilin Baicheng ChaganHot Wind Power Project,9/15/06
CDM01175,P49RV1HC5MY7O2929WR1OUOFZ0GWZ8,1884,Guangdong Huizhou LNG Power Generation Project,9/15/06
CDM03072,OUKP6QXV8MEX1PWVXZNIPQF151NJV2,2034,Wayao Forth Cascade Hydro Power Project in Yunnan Province,9/18/06
CDM02405,PLGFNIIN0DYSVFINXJQXVM69CBBD06,1764,China Xieshui Small Rundle Hydropower Project,9/26/06
CDM02597,V9WZ4EVD1AHRXT1JJFHPXZB2NP3AG6,2993,China Niaoerchao Hydropower Project,9/29/06
CDM02731,MT15SXVOC5G5XYNBLVA0TV622DUKSF,1984,Sichuan Wanyuan Baiyangxi Hydropower Station,9/29/06
CDM01959,N64NIIF1OA5EMBDWHO775YU6VZJZN2,3409,Shanxi Yu County Yanjiazhuang Hydropower Station,10/14/06
CDM01961,KCQA2MKGZM8CH9VEE9Y7V5F8JXVZR2,3411,Shanxi Dingxiang Lingzidi Hydropower Station,10/14/06
CDM01967,HNJSNYJDFQGAR6OZ8DCLKJ5W41BJ09,3414,Shanxi Yu County Wangjiazhuang Hydropower Station,10/14/06
CDM01958,G9UCJ97YYK0W52X0S60D4ZF62DZ07S,3410,Shanxi Zezhou Caohe Hydropower Station,10/14/06
CDM01960,5BZCLZD1VVPEC5LF24X86X5XMU3OT5,3412,Shanxi Yangcheng Motan Hydropower Station,10/14/06
CDM01965,4ZVCDVF10KJU580Q4YDN1VEX3VY84S,3408,Shanxi Zezhou Dongjiaohe Hydropower Station,10/14/06
CDM01968,05ZWN0BFCMJPP4X7TUA2QF90KBYB2V,3413,Shanxi Wutai Gengzhen Hydropower Station,10/14/06
CDM02500,6JQ19XIF1WJAOASQ7QYLSRMJKSZ920,2014,China Jintan Hydropower Project,10/15/06
CDM02555,CQEPAQBL8SVC6HAJHZJJSGRPSM9GSJ,1966,Sichuan Miyaluo Hydroelectric Station,10/15/06
CDM03057,CAQ4C4QIG1QZTGFJW6QBYEO1IUD29R,2172,Daofu County Mengtuo Hydro Project,10/15/06
CDM02360,VMTBD0VD88H695PJW3LV8MBW6UTTDH,1809,Huangyutang Hydro Power Project in Guizhou Province,10/15/06
CDM05286,YCDY3P2DMRJTFS6F679UWBI6ZDNTJ6,3574,Hejiang County Yuanxing Hydro Project,10/15/06
CDM05918,PU27NJKMOC3X8ILWJJZY2UMGZHFFPA,4008,Sichuan Liangtan Hydropower Station Second Phase Project,10/15/06
CDM01907,UCZHP3G6P9TTZ6EVRGAT4ZVX06GQKQ,2075,"Expansion Project of Sanjiangkou Hydro-electric Power Station in the reach of Supa River, Yunnan province, China",10/15/06
CDM02615,Q7MJPGG7F96E0PLHGNKNLKMFPCEO7W,2005,Shaanxi Shiba 14MW Hydropower Project,10/15/06
CDM02000,PI1HL91MIFGYZQU95JSKFJZ7UFMTF4,1998,Fujian Pingnan Daixi 50MW Hydropower Project,10/15/06
CDM01477,RO4FGVJMXXFCY9QKYN4RCUF3FK4LYV,1103,"Manasi River Stage I Hydropower Project of Hongshanzui Hydropower Plant, Xinjiang Tianfu Thermoelectric Co., Ltd.",10/15/06
CDM02674,32E0WQ3FA7U6ZXDW6IANPJB4651KX1,2208,Puping Hydro Power Project,10/18/06
CDM03214,YKYZQV9AT5S4LU2W3I8LS8IDYKBJNR,2255,Siliping Small-Scale Hydro Power Project,10/19/06
CDM03218,5XROKDDTW3YBOY8O55ZG07IWJE4RN7,2256,Shilong Small-Scale Hydro Power Project,10/19/06
CDM02853,AXCLUMW83BXTF1X7AJES6G91QS485D,2037,Yangliutan Hydro Power Project,10/19/06
CDM02193,0SBVN943ZI2NQZBY8O5PHL3E1QLLTM,1837,Zhejiang Cixi Wind Farm Project,10/26/06
CDM02167,Q8QP39Q9SZX0NVQHMS0GXON2XIRPV9,2644,Thachana Palm Oil Company Wastewater Treatment Project in Thailand,10/26/06
CDM01970,URPP1HPALDBAN5OMOW1G9O3W90I754,2173,Modification and retrofitting of the existing 34 MW hydropower plant at Bhandardara -2 (project activity) in Maharashtra state in India by Dodson Ð Lindblom Hydro Power Private Limited (DLHPPL),10/27/06
CDM06192,3ZVX2JPFD0I0MSX2DMF5T939HJW3DZ,5029,Inner Mongolia North Long Yuan 100 MW Huitengxile Wind Farm,10/27/06
CDM01615,SQWGBNNJ79LQOZR8B6LIQQUZA5B3QV,3351,Guizhou Qingshuihe Gelibridge Hydropower Project,11/2/06
CDM08068,ENSHQ9WCX1HVB8KOB9PHZXXBF6UU71,6840,Qingshui River Dahuashui Hydropower Station,11/2/06
CDM02097,JZQ124JRJY1ANZAZFEDOZ953YAIH8I,2677,Sichuan Furong Coal Mine Methane Utilization Project,11/10/06
CDM03237,DK49ASKYMEZIDYCMRVYJ9XCZK1YK3L,2847,Chongqing Zhongliang Hydroelectric Project,11/13/06
CDM02496,JPC7KHIHJXEL0ZU112WZ62A7C8V4US,2440,Anhui Anqing 30MW Biomass Power Generation Project ,11/13/06
CDM04288,Z3OS8ZXB6QTF37D83K8VO8AT2NMOEU,2960,Chongqing Jinjiaba HydroElectric Project,11/13/06
CDM05008,C018ISRL8NPHF98VIPDOSSO093G0HD,3968,Beiping Hydro Electric Project,11/13/06
CDM02419,0G24H0O0XSKVCPMV29S35KEQGY6D7U,2120,QiÕnan Hydro Power Project,11/15/06
CDM02724,W2UO7JY5RJHZ0MAOE5OQZ4R6UVVBHN,3477,Shenzhen Dongbu LNG Power Generation Project,11/15/06
CDM02277,24X9JND6AF9EDQZZXEXI76HML0BJHS,2106,Yunnan Lianghe Hulukou Hydropower Station,11/15/06
CDM01952,5YB2UY4BTV4RMOK9BOGA848OSEADX7,2116,Yunnan Yingjiang Mangya River 1st Hydropower Station,11/15/06
CDM02659,JCY1OFTOUHRUQUJ5OM8Y999O0QTMVQ,2156,Fujian Shouning Xiadongxi 25MW Hydropower Project,11/15/06
CDM02109,V68ZLW7U11MMGJU1HB9N2VAXYAX3BQ,1313,MEN-Tangerang 13.6MW Natural Gas Co-generation Project,11/15/06
CDM02786,K9LVX8G5TYMJ79J2ZN0XPD4HJMTVX7,2206,Sichuan Jiulong Shaping Hydropower Project,11/15/06
CDM01644,GQC8ZUQX6I4UZCW1XUUKQPIK1I1JSL,1526,Saldanha Small Hydroelectric Project,11/16/06
CDM01436,B6ZK3JAJYWXMMMOIXB45K98MZE4T7J,6604,Song Giang 2 Hydro Power Project,11/17/06
CDM01603,4V4RA9B65WD5I2NQ8ZL36OIHLH0DVY,3448,"Shaanxi Tiefo Guanyuan 10.0MW Hydropower Project, P.R.China  ",11/20/06
CDM02679,VWRQPWG70MYZRKXLUFOVJ24PQ7KZN0,2021,Shandong Haiyang Qiuershan Wind Power Project,12/2/06
CDM02034,X7BQWZKCHTWQZ8B3DS53YWOBIZJR8D,1730,Inner Mongolia Wulanchabu Volan Cement Waste Heat Recovery Project,12/5/06
CDM02462,ILFAWUAM6UWI96GU9AZQZJWPGPIFC8,1873,Hebei Chengde Huifeng Windfarm Project,12/8/06
CDM01526,8A1MWFZVLSL7MB1Y0FZODXYRI5BUUO,2727,Golden Hope Composting Project - Pekaka. ,12/12/06
CDM01386,ARMZOGH4ACGZMU5X0GP9GHA4YVGHYC,1168,Enercon Wind Farm (Hindustan) Ltd in Rajasthan,12/13/06
CDM02422,AUSG21F08JCOM9UHSLYB2LLJSSY29S,1799,Changtan Hydro Power Project in Guizhou Province,12/15/06
CDM01748,O1ZPA2DSJ900WYB6GUZC4VOG3Z7WJQ,1433,Hubei XuanÕen Dongping Hydropower Station,12/15/06
CDM01831,4NQKO3JY6N8IKI9WVB0MRDLBAB4W7K,1953,Guizhou Taijiang Yanzhai Hydropower Station,12/15/06
CDM02829,0GBXIX58S3GOAUWBP5D7Z7B78SBRTX,1985,Gansu Huanghe Bingling Hydropower Station Project,12/18/06
CDM03424,C7FETLKKHSEZRITQOFPJES0E5ERBE1,2302,Taegisan Wind Power Project,12/26/06
CDM03086,6TKQTBTG2BDXDM3JZNNQXU8HLVGD6E,2151,Yunnan Leidatan 108MW Hydropower Project,12/28/06
CDM01832,N9QUZY817C7DW7WOMTYK0YG51FJQVF,1482,"Conversion of existing open cycle gas turbine to combined cycle at the Central Termica Patagonia power station, Comodoro Rivadavia, Argentina",1/1/07
CDM02915,2BCV8VCTUP3EAAO2MSQBGEZP3LZWHT,2090,"Yaoping 10 MW Small Hydropower Project in Shaanxi Province, China",1/2/07
CDM02437,PKMHBQJC467Q180WP14TKD9HVNENUW,3689,Sichuan Tiexi Hydro Project,1/4/07
CDM03168,O9IOP97NLXHVJ7LVVQD7EXC0TWBH49,3159,Jinxiu Fengmuao Hydro Power Project,1/8/07
CDM03171,XN2PMJ1TP0Y2JGCOFLLFHZ1U3EJUUR,3076,Mengshan Xingupai Hydro Power Project,1/8/07
CDM01668,KSMYJ1QA76YDMLAMXR1HESITT6G99T,1567,"Furong-Hongguang Small Hydropower Project, Shaanxi Province, P.R. China",1/9/07
CDM02008,7LM64NLFMHQ12O0UCU77KOOAWC1HU5,1859,China Fujian Putian LNG Generation Project,1/10/07
CDM01662,G4PQIS0M5H8NFLG2BF9GGEU67B0GOI,2177,"Pingwu Huangyanghe Stage I Small Hydropower Project, P.R.China",1/12/07
CDM04309,ZM59WBOIRZRCQR5MLMDZKX8CL1ABMW,2670,"Biogas project, Cargill Siam Borabu",1/12/07
CDM02634,OD6JRYHYOELTODU5XHBVFRFVA3L8FO,1759,Shuangbai Ejia Magahe River Hydropower Project,1/12/07
CDM04489,83OAB380N40KNW3UN134SIUW44ITEY,6979,Sichuan Jiulong Sanyahe 1st Cascade Hydropower Station Project,1/12/07
CDM02654,9M6XJWL8TSL59P23AFHLO8P7QFR63F,1858,Longzhou 1st Hydro Power Project,1/15/07
CDM01752,SQDJX21Z5LIE94490XZIW26R1340VP,1517,Guizhou Shuicheng Jinshizi Hydropower Station,1/15/07
CDM01749,6ZJKH4QT3C6N8L7SKY53H6O2SC9M1W,1438,Hubei Hefeng Yanzi Town Baishun Village Taohuashan Hydropower Station,1/15/07
CDM03810,MDUNNYZKL5JN4UBR83MKO0ARHYY51X,2882,"Tao River Haidianxia 60MW Hydropower Project in Gansu Province, China",1/15/07
CDM01754,PCDLMT5Y9ZYRFDE6AYEUISH0Z2ENV5,2063,Yunnan Longchuan Nanwanhe 2nd Level Hydropower Station,1/17/07
CDM02295,Z4GWRLODIFUXXPZTGON4SGJUW2GDZ9,2017,Hubei Lichuan Longqiao Hydropower Station,1/18/07
CDM03048,WEW6U7X1S5F9VNR8BN9O2BG10JARB5,2459,Guangdong Liucheng 25.5MW Hydro Power Project,1/19/07
CDM03049,KRSL8J8OBJ78Q3HG8CAICNYKKGHVN0,2458,Guangdong Lankou 26MW Hydro Power Project,1/19/07
CDM05525,Q1TTEBBTLULSGJKA5FIGXHGIVPQTWV,5040,7.5 MW Biomass based Power Plant,1/23/07
CDM03814,8WWM44DTPDZU1LOK1LBQHX0QWTD0TB,2315,Amayo 40 MW Wind Power Project - Nicaragua,1/29/07
CDM08910,PO0RCPKS63U42FPR9IRSE5JVK89PSW,6383,Sichuan Ya'an Dajinping Hydro Project,1/31/07
CDM02389,LG7R7BMZ7TB28RU8L1CCIUY5A5FEP8,1768,Gansu Luqu Dazhuang Hydropower Station Project,2/3/07
CDM01735,LO2557IO2T0FGS1FKPM5NZRRDTGNT4,3377,Yunnan Maguan Tongguo Hydropower Station,2/8/07
CDM01751,6FPD5THBKRUUHYVH5MHT776KX7PVDV,3376,Yunnan Maguan Huabazi Hydropower Station,2/8/07
CDM02294,P9F5Y5BIMNHKV7LK8050NO1GXZ4WN6,2004,Guangxi Zhuang Autonomous Region Wuzhou Wangcun Hydropower Station,2/8/07
CDM02877,QYTEWBUCH4IQ98HZ6G65YQ5A3PYMPV,2002,Yuquan 16 MW Hydro-electric Power Station Project,2/13/07
CDM01868,5NDQA20R242WZEJ88W2NDIMO5KGXU6,1258,Quezon City Controlled Disposal Facility Biogas Emission Reduction Project,2/14/07
CDM03042,USP4QPHJXO11L0RIYXLAY2WPOCCF18,3299,"LinCang Yun County, XinTangFang Hydropower Station Project",2/15/07
CDM02440,BGCVUOF5BH44V4ERDUF5D53J7MRYQ6,1872,Hunan Chenxi Dafutan Hydropower Station,2/15/07
CDM01844,HQ1GHK1FOSS8259EXGO80ZEINYZTX8,1989,Xinjiang Uygur Autonomous Region Wensu Tagake Hydropower Station,2/15/07
CDM02743,LDKJ4WGF1JTJ303V9466LB219DGEVK,2009,Sichuan Jiajiang Qianfoyan Hydro Project,2/20/07
CDM02667,GH88T4T00N8S8T4K67SR361V206KJN,2192,Tianquan Xiacun Hydro Power Project,2/20/07
CDM02670,FNBZ1I0FQYGLBAHQOJRXU1715T3NLU,2195,Tianquan Shiyang Hydro Power Project,2/20/07
CDM02669,5SQPNUYCWW3PR021OUC9AGHQT4VZK4,2189,Tianquan Qieshan Hydro Power Project,2/20/07
CDM06379,3T6ML2ICEFKAEB2CADQZF4F7I481KI,4557,Hunan Xiaohe Small Hydropower Project,2/21/07
CDM02433,AY171CFM9H5DVNSWZCSCBFZ5IDCME5,1857,Hunan Yuanshui Qingshuitang Hydropower Station,2/27/07
CDM02003,YDG0FP35M8MB4AFM681U37G5IW8IEZ,1431,Sichuan Zhaojiashan 20MW Hydropower Project,2/28/07
CDM04367,FM5QCP12TAAWGA7OWCGMEFX9WRYZSQ,2970,TBEC Tha Chang Biogas Project,3/1/07
CDM04136,CC45I0OPG3TBZ702V117FI1P4SI802,2371,Muong Sang hydropower project,3/2/07
CDM02169,ZWK6ILNYH1LQELN6D05MQ4O6VYSPJI,2114,Lijiang Wulanghe Secondary Hydropower Project,3/5/07
CDM04281,Q2786NZXM5UEPNT86XL8XT8060U7TX,2456,Jiema Hydro Power Project,3/8/07
CDM02600,DSEVJUQVQADXQYOFKL76KQ93RCKCL2,2344,Zhumadian Zhongyuan Gas-Steam Combined Cycle Power Project in Henan China,3/9/07
CDM02418,00J4UE52C4VTT01JSVE9ERDU8WP76W,3857,Liaoning Linghai Nanxiaoliu Wind Farm Project,3/14/07
CDM02852,ACXPC3NVIAHGMQJ2X63UYRX9VZFTL2,2121,China Hunan Yuzitang Small Hydropower Project,3/15/07
CDM02605,X7TDHFGDB92J2EQYRUYAO2KYNA1UR2,2149,Diaobingshan New-built 49.5MW Wind Power Station Project,3/18/07
CDM01813,78BYYOJE20BPO71T9ZQS4UMPN59H4Q,1694,Shenyang Daxin Landfill Gas to Electricity Project,3/21/07
CDM03421,UTC8P0ZZHBCH4Q22JAYOBAPUK73LET,3723,Hengmen NG-fired Power Generation Project,3/26/07
CDM01299,TJM7MQXVK8V2TQIIXB2YRSSO7XQS4S,3008,Nanjing Jinling Grid Connected Natural Gas Combined Cycle Power Plant Project,3/28/07
CDM03137,IT9SARIA4VZQ8T7YUVG1CSKY1KRIKM,3745,Su Pan 2 Hydro Power Project,3/30/07
CDM03855,9DZX7S2ZLOVV3BDTBHO24FFH3I56LG,3254,Hainan Chengpo Hydropower Project,4/11/07
CDM02735,XH8PEQ9C9LQMUTH0XGOK9IMS2RWWY6,2038,Fuhui Inner Mongolia Tugurige Wind Farm Project,4/15/07
CDM02741,NEC2BRNBZ228QED2KZ6YUZGS0GXGNB,2072,Fuhui Inner Mongolia Narenbaolige Wind Farm Project,4/15/07
CDM01988,FY2L18XA9I3JTTI62AMH2IBIBHZIYT,2105,Sichuan Erdaoqiao Hydropower Project,4/17/07
CDM02664,D4SF3IMARFRG10NO7BA7FT8429YUON,2026,5.8 MW Wind Energy Generation by M/s Patspin India Limited.,4/18/07
CDM02990,O8IWU0MHJU2JCUEYMD2PRTHOBM79WZ,2439,Zhangjiagang Nature Gas Power Generation Project,4/19/07
CDM02477,YIG0TX7JI9SIJ2IHLCQN51YJLQJGWL,1849,"Jinji 25.2 MW Hydropower Project (the Project) in Guangxi Zhuang Autonomous Region, China",4/19/07
CDM03417,AWMKCPASIFK0T7A76BT19V41UEPXZT,3158,"Xiannvhu Hydropower Project of Enshi City, Hubei Province",4/20/07
CDM02619,WTKF174O0LC56D5B5CJIXCAGYO4SUX,2060,Shaanxi Shenyang 10MW Hydropower Project,4/23/07
CDM02623,6VYG3DWU0LGTQL4FZEJHI0XIS3UEA9,2074,Shaanxi Hongchun and Shangba 11.4MW Hydropower Project Bundle,4/23/07
CDM02382,0RTUH4I3EKLDQXO0X2CBDG3E3NEHMO,2131,25MW Liangwan Hydropower Development Project,4/28/07
CDM04448,H4YSBMI9UEUK3NZ5IR7DHUIODSRIJY,4502,Qinyu small Hydropower Project in Gansu Province,5/6/07
CDM02183,FHFQSGPXMEH1OAVVTD2NVMFJBHW995,2136,"Tongren Tianshengqiao Hydropower Project, Guizhou Province, China",5/10/07
CDM02983,1BGTUIGNZPF7KQTH6AM9W9WON6FL9S,2130,"Methane Recovery in Wastewater Treatment, Project AIN07-W-04, Sumatera Utara, Indonesia",5/11/07
CDM02899,NKW80HJCXDB9RBENXDYLUEX8WVR317,2051,Goldwind Damao Wind Farm Project,5/15/07
CDM02668,5IXNGQPWCXCGNALRZVCPLYXEHC18CW,1994,Yunnan Lincang Zhenai Hydropower Project,5/15/07
CDM03071,706ZX71J1X2VYROBPU0DQBMZCOIGXZ,2033,Jiadu River Zhentong Power Plant Project,5/15/07
CDM01948,M1QJ31YQS0X0N7GUINBTJBZBDPV1NM,1446,Liaoning Xingcheng Haibin Wind Farm Project,5/15/07
CDM02636,4JTB1YOQ7LE3M480H632Y9O0CNRE5P,1961,Sichuan Miaopu Hydropower Project,5/15/07
CDM05466,057JNXXZNC8QFZ0QSQ2M97XQXBQRU2,2967,Shanghai Chongming Dongtan Wind Farm CDM Project,5/16/07
CDM02118,S3J6TET0WR21PDMVTEE4NU7ZMN8V6X,1928,Jincheng Fengrun CMM Utilisation from Nine Mines in Jincheng City Shanxi Province China,5/16/07
CDM04266,4I40KRMICGRNYWM9JZ71WJJUDL98NR,2891,Ta Niet Hydro Power Project,5/19/07
CDM03395,UNI4T1A3876D1I20RNK5684EOTH6YR,2739,Gansu Min County Qingshui Hydropower Station Project,5/21/07
CDM02384,ESI08C7PXER9896YVB1NWIE1ZED8EO,2693,Gansu Luqu Duosongduo Hydropower Station Project,5/21/07
CDM05961,UD08DW3O220QSTZQKSJGX486SPJTNN,4590,Sichuan Kangding Sandaoqiao Hydropower Station,5/21/07
CDM02726,IIXH1O2Y6UNUHQ717SWHS3YGDYBR67,2003,Yunnan Guangnan Duimen River Hydropower Station,5/21/07
CDM03076,06NI85U6MLMZPHDZJIOQQO0NJ2ANC4,2203,Hubei Maduhe Hydro Project,5/22/07
